chain,npi
meridian,2243873348
meridian,5784251598
meridian,2155802903
meridian,7102072911
meridian,8784556496
meridian,6459474826
meridian,9582170077
meridian,9928489041
meridian,8546216964
cardinal,8035655490
cardinal,2632517261
cardinal,6473200891
cardinal,3139514762
cardinal,6274299335
cardinal,2976640682
cardinal,1862600935
cardinal,5574477494
beacon,8156677841
beacon,3151218567
beacon,9854497121
beacon,7669133294
beacon,5158886955
beacon,4984991735
union,3384811136
union,4930714903
union,7694029884
union,4858087087
union,9187197798
foothill,1092650686
foothill,2982920758
foothill,9594266364
foothill,3187902499
harbor,3447356716
harbor,3067018946
harbor,1530512212
sunrise,7260900195
sunrise,8639498980
